Step: 12,    val PPL: 1276.0127,     best val PPL: 1276.0127,    best val loss: 64.62998
Step: 24,    val PPL: 1178.0679,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 36,    val PPL: 1185.4622,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 48,    val PPL: 1191.9125,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 60,    val PPL: 1189.5828,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 72,    val PPL: 1187.5425,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 84,    val PPL: 1186.1232,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 96,    val PPL: 1183.1744,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 108,    val PPL: 1184.0363,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 120,    val PPL: 1182.5321,     best val PPL: 1178.0679,    best val loss: 63.875954
Step: 132,    val PPL: 1181.2742,     best val PPL: 1178.0679,    best val loss: 63.8683
Step: 144,    val PPL: 1179.3813,     best val PPL: 1178.0679,    best val loss: 63.850407
Step: 156,    val PPL: 1178.5533,     best val PPL: 1178.0679,    best val loss: 63.844776
Step: 168,    val PPL: 1177.2699,     best val PPL: 1177.2699,    best val loss: 63.83275
Step: 180,    val PPL: 1173.4286,     best val PPL: 1173.4286,    best val loss: 63.797184
Step: 192,    val PPL: 1171.9031,     best val PPL: 1171.9031,    best val loss: 63.790405
Step: 204,    val PPL: 1168.3423,     best val PPL: 1168.3423,    best val loss: 63.755524
Step: 216,    val PPL: 1167.7747,     best val PPL: 1167.7747,    best val loss: 63.753883
Step: 228,    val PPL: 1164.3252,     best val PPL: 1164.3252,    best val loss: 63.72334
Step: 240,    val PPL: 1163.7867,     best val PPL: 1163.7867,    best val loss: 63.722694
Step: 252,    val PPL: 1159.9839,     best val PPL: 1159.9839,    best val loss: 63.681705
Step: 264,    val PPL: 1159.8163,     best val PPL: 1159.8163,    best val loss: 63.67772
